Name,Address,Category,Website,Phone,Social Medias,Facebook,Instagram,Twitter,Emails,Email Status
Macchiato Wood Fire Pizza And Coffee Roasters,"Shop 2/338 Pitt Street, SYDNEY CBD New South Wales 2000",Italian restaurant,https://macchiato.com.au/,(02) 9262 9525,"{""facebook"":""https://www.facebook.com/macchiato.sydney/"",""instagram"":""http://instagram.com/macchiatosydney"",""yelp"":""https://www.yelp.com/biz/macchiato-wood-fire-pizza-and-coffee-roastery-sydney-2?start=20"",""twitter"":""https://twitter.com/macchiatosydney""}",https://www.facebook.com/macchiato.sydney/,http://instagram.com/macchiatosydney,https://twitter.com/macchiatosydney,enquiries@macchiato.com.au,Risky
Macchiato Wood Fire Pizza And Coffee Roasters,"Shop 2/338 Pitt Street, SYDNEY CBD New South Wales 2000",Italian restaurant,https://macchiato.com.au/,(02) 9262 9525,"{""facebook"":""https://www.facebook.com/macchiato.sydney/"",""instagram"":""http://instagram.com/macchiatosydney"",""yelp"":""https://www.yelp.com/biz/macchiato-wood-fire-pizza-and-coffee-roastery-sydney-2?start=20"",""twitter"":""https://twitter.com/macchiatosydney""}",https://www.facebook.com/macchiato.sydney/,http://instagram.com/macchiatosydney,https://twitter.com/macchiatosydney,support@hssservices.com,Risky
I Love Pizza Pyrmont,"138/313 Harris Street, Pyrmont New South Wales 2009",Pizza delivery service,https://i-love-pizza.com.au/locations/pyrmont/,(02) 9123 9877,"{""instagram"":""https://www.instagram.com/ilovepizzasydney/"",""facebook"":""https://www.facebook.com/ilovepizzasydney/""}",https://www.facebook.com/ilovepizzasydney/,https://www.instagram.com/ilovepizzasydney/,-- No Data --,info@i-love-pizza.com.au,Risky
I Love Pizza Pyrmont,"138/313 Harris Street, Pyrmont New South Wales 2009",Pizza delivery service,https://i-love-pizza.com.au/locations/pyrmont/,(02) 9123 9877,"{""instagram"":""https://www.instagram.com/ilovepizzasydney/"",""facebook"":""https://www.facebook.com/ilovepizzasydney/""}",https://www.facebook.com/ilovepizzasydney/,https://www.instagram.com/ilovepizzasydney/,-- No Data --,support@hssservices.com,Risky
Johnny Gio's Pizza (Waterloo),"22 Crystal Street, Sydney New South Wales 2017",Pizza restaurant,https://johnnygiospizza.com.au/,(02) 9698 8875,"{""facebook"":""https://www.facebook.com/pg/johnny-gios-103866461264179/"",""instagram"":""https://www.instagram.com/johnnygiospizza/""}",https://www.facebook.com/pg/johnny-gios-103866461264179/,https://www.instagram.com/johnnygiospizza/,-- No Data --,jrl@sharks.com.au,Risky
La Pizza Bella,"UNIT G 310 CROWN STREET, DARLINGHURST New South Wales 2010",Pizza restaurant,https://lapizzabella.com.au/,(02) 9360 0031,"{""instagram"":""https://www.instagram.com/la_pizza_bella_darlinghurst/"",""yelp"":""https://www.yelp.com/biz/la-pizza-bella-darlinghurst""}",-- No Data --,https://www.instagram.com/la_pizza_bella_darlinghurst/,-- No Data --,Info@lapizzabella.com.au,Risky
Domino's,"17 Randle St, Surry Hills New South Wales 2010",Pizza restaurant,https://www.dominos.com.au/store/NSW-SURRY-HILLS-98360?utm_source=bing&utm_medium=places-organic&utm_campaign=yext&utm_content=bingURL,(02) 9212 9420,"{""facebook"":""https://www.facebook.com/dominosaustralia"",""youtube"":""https://www.youtube.com/user/dominosaustralia"",""twitter"":""https://twitter.com/dominos_au"",""instagram"":""https://www.instagram.com/dominos_au""}",https://www.facebook.com/dominosaustralia,https://www.instagram.com/dominos_au,https://twitter.com/dominos_au,kylie.hearne@nswtouch.com.au,Risky
Domino's,"17 Randle St, Surry Hills New South Wales 2010",Pizza restaurant,https://www.dominos.com.au/store/NSW-SURRY-HILLS-98360?utm_source=bing&utm_medium=places-organic&utm_campaign=yext&utm_content=bingURL,(02) 9212 9420,"{""facebook"":""https://www.facebook.com/dominosaustralia"",""youtube"":""https://www.youtube.com/user/dominosaustralia"",""twitter"":""https://twitter.com/dominos_au"",""instagram"":""https://www.instagram.com/dominos_au""}",https://www.facebook.com/dominosaustralia,https://www.instagram.com/dominos_au,https://twitter.com/dominos_au,feedback@dominos.com.au,Risky
Domino's,"17 Randle St, Surry Hills New South Wales 2010",Pizza restaurant,https://www.dominos.com.au/store/NSW-SURRY-HILLS-98360?utm_source=bing&utm_medium=places-organic&utm_campaign=yext&utm_content=bingURL,(02) 9212 9420,"{""facebook"":""https://www.facebook.com/dominosaustralia"",""youtube"":""https://www.youtube.com/user/dominosaustralia"",""twitter"":""https://twitter.com/dominos_au"",""instagram"":""https://www.instagram.com/dominos_au""}",https://www.facebook.com/dominosaustralia,https://www.instagram.com/dominos_au,https://twitter.com/dominos_au,Training@dominos.com.au,Risky
Domino's,"17 Randle St, Surry Hills New South Wales 2010",Pizza restaurant,https://www.dominos.com.au/store/NSW-SURRY-HILLS-98360?utm_source=bing&utm_medium=places-organic&utm_campaign=yext&utm_content=bingURL,(02) 9212 9420,"{""facebook"":""https://www.facebook.com/dominosaustralia"",""youtube"":""https://www.youtube.com/user/dominosaustralia"",""twitter"":""https://twitter.com/dominos_au"",""instagram"":""https://www.instagram.com/dominos_au""}",https://www.facebook.com/dominosaustralia,https://www.instagram.com/dominos_au,https://twitter.com/dominos_au,privacy@dominos.com.au,Risky
