ID,Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Price,Scraped At,Website,Phone,Social Medias,Facebook,Instagram,Twitter,Emails,category,catch_all,status
ypid:YN8003x8125332484494375640,Creative Creators Architecture and Interior Design,"Business Bay, Al A'amal Street, International Business Tower, Office Number 1810, P.O. Box 113985 Dubai",https://www.bing.com/th?id=OLC.UWU6b5JxNouFvA480x360&pid=Local,https://www.bing.com/maps?cp=25.178510665893555%7E55.26538848876953&lvl=17.0&q=Creative%20Creators%20Architecture%20and%20Interior%20Design%20%2C%20Business%20Bay%2C%20Al%20A'amal%20Street%2C%20International%20Business%20Tower%2C%20Office%20Number%201810%2C%20P.O.%20Box%20113985%20Dubai,25.17851067,55.26538849,,,مهندس معماري,Closed · Opens tomorrow 09:00,,2025-07-11T03:07:22.190Z,https://www.facebook.com/creativecreatorsdubai/,04 277 6511,"{""facebook"":""https://www.bing.com/alink/link?url=https%3a%2f%2fwww.facebook.com%2fcreativecreatorsdubai%2f&source=serp-local&h=j5eyi8osie4qfb36sojktq4yki0p%2flshwrsslj6gbcg%3d&p=lw_tp&ig=1d8b82bcc3784c88bc1dd6ad852f7279&ypid=yn8003x8125332484494375640""}",https://www.bing.com/alink/link?url=https%3a%2f%2fwww.facebook.com%2fcreativecreatorsdubai%2f&source=serp-local&h=j5eyi8osie4qfb36sojktq4yki0p%2flshwrsslj6gbcg%3d&p=lw_tp&ig=1d8b82bcc3784c88bc1dd6ad852f7279&ypid=yn8003x8125332484494375640,-- No Data --,-- No Data --,info@cc-dubai.com,Good,No,Yes
ypid:YN8003x250928133107970448,Fahed + Architects,"Level 14, Boulevard Plaza Tower 1, Sheikh Mohammed Bin Rashid Boulevard. - دبي",,https://www.bing.com/maps?cp=25.199569702148438%7E55.27589797973633&lvl=17.0&q=Fahed%20%2B%20Architects%20%2C%20Level%2014%2C%20Boulevard%20Plaza%20Tower%201%2C%20Sheikh%20Mohammed%20Bin%20Rashid%20Boulevard.%20-%20%D8%AF%D8%A8%D9%8A,25.1995697,55.27589798,,,Architect,Closed · Opens Sun 09:30,,2025-07-11T03:07:22.191Z,https://www.fahedarchitects.com/,04 424 5116,"{""facebook"":""https://www.facebook.com/fahed.majeed"",""instagram"":""https://www.instagram.com/fahed_architects"",""twitter"":""https://www.twitter.com/fahedarchitects"",""youtube"":""https://www.youtube.com/channel/ucab6b32tqlbteovj4o113pq"",""pinterest"":""https://www.pinterest.com/fahedmajeed"",""linkedin"":""https://www.linkedin.com/company/fahed-architects""}",https://www.facebook.com/fahed.majeed,https://www.instagram.com/fahed_architects,https://www.twitter.com/fahedarchitects,design@fahedarchitects.com,Good,No,Yes
ypid:YN8003x250928133107970448,Fahed + Architects,"Level 14, Boulevard Plaza Tower 1, Sheikh Mohammed Bin Rashid Boulevard. - دبي",,https://www.bing.com/maps?cp=25.199569702148438%7E55.27589797973633&lvl=17.0&q=Fahed%20%2B%20Architects%20%2C%20Level%2014%2C%20Boulevard%20Plaza%20Tower%201%2C%20Sheikh%20Mohammed%20Bin%20Rashid%20Boulevard.%20-%20%D8%AF%D8%A8%D9%8A,25.1995697,55.27589798,,,Architect,Closed · Opens Sun 09:30,,2025-07-11T03:07:22.191Z,https://www.fahedarchitects.com/,04 424 5116,"{""facebook"":""https://www.facebook.com/fahed.majeed"",""instagram"":""https://www.instagram.com/fahed_architects"",""twitter"":""https://www.twitter.com/fahedarchitects"",""youtube"":""https://www.youtube.com/channel/ucab6b32tqlbteovj4o113pq"",""pinterest"":""https://www.pinterest.com/fahedmajeed"",""linkedin"":""https://www.linkedin.com/company/fahed-architects""}",https://www.facebook.com/fahed.majeed,https://www.instagram.com/fahed_architects,https://www.twitter.com/fahedarchitects,projects@fahedarchitects.com,Good,No,
ypid:YN8003x250928133107970448,Fahed + Architects,"Level 14, Boulevard Plaza Tower 1, Sheikh Mohammed Bin Rashid Boulevard. - دبي",,https://www.bing.com/maps?cp=25.199569702148438%7E55.27589797973633&lvl=17.0&q=Fahed%20%2B%20Architects%20%2C%20Level%2014%2C%20Boulevard%20Plaza%20Tower%201%2C%20Sheikh%20Mohammed%20Bin%20Rashid%20Boulevard.%20-%20%D8%AF%D8%A8%D9%8A,25.1995697,55.27589798,,,Architect,Closed · Opens Sun 09:30,,2025-07-11T03:07:22.191Z,https://www.fahedarchitects.com/,04 424 5116,"{""facebook"":""https://www.facebook.com/fahed.majeed"",""instagram"":""https://www.instagram.com/fahed_architects"",""twitter"":""https://www.twitter.com/fahedarchitects"",""youtube"":""https://www.youtube.com/channel/ucab6b32tqlbteovj4o113pq"",""pinterest"":""https://www.pinterest.com/fahedmajeed"",""linkedin"":""https://www.linkedin.com/company/fahed-architects""}",https://www.facebook.com/fahed.majeed,https://www.instagram.com/fahed_architects,https://www.twitter.com/fahedarchitects,careers@fahedarchitects.com,Good,No,
ypid:YN8003x6406336276293423038,Dsa Architects International,"Convention Tower Sheikh Zayed Road Near Novotel World Trade Centre Hotel, Dubai",,https://www.bing.com/maps?cp=25.22282600402832%7E55.28909683227539&lvl=17.0&q=Dsa%20Architects%20International%20%2C%20Convention%20Tower%20Sheikh%20Zayed%20Road%20Near%20Novotel%20World%20Trade%20Centre%20Hotel%2C%20Dubai,25.222826,55.28909683,,,مهندس معماري,,,2025-07-11T03:07:22.191Z,https://www.dsa-arch.com/,04 329 2288,"{""facebook"":""https://www.facebook.com/dsa.architects.intl/"",""instagram"":""https://www.instagram.com/dsaarchitectsintl/"",""twitter"":""https://twitter.com/dsaarchitects?lang=en"",""linkedin"":""https://www.linkedin.com/company/dsa-architects-international"",""youtube"":""https://www.youtube.com/channel/uc97sdcblzu6roalz4z4irqg""}",https://www.facebook.com/dsa.architects.intl/,https://www.instagram.com/dsaarchitectsintl/,https://twitter.com/dsaarchitects?lang=en,saraban_Arch@chula.ac.th,Good,No,Yes
ypid:YN8003x6406336276293423038,Dsa Architects International,"Convention Tower Sheikh Zayed Road Near Novotel World Trade Centre Hotel, Dubai",,https://www.bing.com/maps?cp=25.22282600402832%7E55.28909683227539&lvl=17.0&q=Dsa%20Architects%20International%20%2C%20Convention%20Tower%20Sheikh%20Zayed%20Road%20Near%20Novotel%20World%20Trade%20Centre%20Hotel%2C%20Dubai,25.222826,55.28909683,,,مهندس معماري,,,2025-07-11T03:07:22.191Z,https://www.dsa-arch.com/,04 329 2288,"{""facebook"":""https://www.facebook.com/dsa.architects.intl/"",""instagram"":""https://www.instagram.com/dsaarchitectsintl/"",""twitter"":""https://twitter.com/dsaarchitects?lang=en"",""linkedin"":""https://www.linkedin.com/company/dsa-architects-international"",""youtube"":""https://www.youtube.com/channel/uc97sdcblzu6roalz4z4irqg""}",https://www.facebook.com/dsa.architects.intl/,https://www.instagram.com/dsaarchitectsintl/,https://twitter.com/dsaarchitects?lang=en,dsa.simona@gmail.com,Good,No,
ypid:YN8003x8001841113720797715,CK Architecture Interiors,"1 Street, Dubai, Null 0000",https://www.bing.com/th?id=OLC.mwvJgM+tjFGECw480x360&pid=Local,https://www.bing.com/maps?cp=25.229047775268555%7E55.3110466003418&lvl=17.0&q=CK%20Architecture%20Interiors%20%2C%201%20Street%2C%20Dubai%2C%20Null%200000,25.22904778,55.3110466,,,Interior design,Closed · Opens 09:00,,2025-07-11T03:07:22.191Z,https://ckarchitecture.com/,04 220 9117,"{""facebook"":""https://www.facebook.com/ckarchitectureinteriorsllc/"",""linkedin"":""https://www.linkedin.com/company/ck-architecture-interiors-l-l-c-"",""youtube"":""https://www.youtube.com/watch?v=ur0l-3jkljq"",""instagram"":""https://www.instagram.com/ckarchitecture.interiors/"",""pinterest"":""https://pinterest.com/ckarchitecture""}",https://www.facebook.com/ckarchitectureinteriorsllc/,https://www.instagram.com/ckarchitecture.interiors/,-- No Data --,hello@ckarchitecture.com,Good,No,Yes
ypid:YN8003x8001841113720797715,CK Architecture Interiors,"1 Street, Dubai, Null 0000",https://www.bing.com/th?id=OLC.mwvJgM+tjFGECw480x360&pid=Local,https://www.bing.com/maps?cp=25.229047775268555%7E55.3110466003418&lvl=17.0&q=CK%20Architecture%20Interiors%20%2C%201%20Street%2C%20Dubai%2C%20Null%200000,25.22904778,55.3110466,,,Interior design,Closed · Opens 09:00,,2025-07-11T03:07:22.191Z,https://ckarchitecture.com/,04 220 9117,"{""facebook"":""https://www.facebook.com/ckarchitectureinteriorsllc/"",""linkedin"":""https://www.linkedin.com/company/ck-architecture-interiors-l-l-c-"",""youtube"":""https://www.youtube.com/watch?v=ur0l-3jkljq"",""instagram"":""https://www.instagram.com/ckarchitecture.interiors/"",""pinterest"":""https://pinterest.com/ckarchitecture""}",https://www.facebook.com/ckarchitectureinteriorsllc/,https://www.instagram.com/ckarchitecture.interiors/,-- No Data --,info@ckarchitecture.com,Good,No,
ypid:YN8003x1581231362251874201,ANARCHITECT,Office 2902 Marina Plaza Tower - دبي,,https://www.bing.com/maps?cp=25.078598022460938%7E55.13991928100586&lvl=17.0&q=ANARCHITECT%20%2C%20Office%202902%20Marina%20Plaza%20Tower%20-%20%D8%AF%D8%A8%D9%8A,25.07859802,55.13991928,,,Architect,,,2025-07-11T03:07:22.191Z,https://www.anarchitect.com/,04 424 5079,"{""twitter"":""https://twitter.com/anarchitect_co"",""instagram"":""https://instagram.com/anarchitect_co/"",""linkedin"":""https://www.linkedin.com/company/anarchitect""}",-- No Data --,https://instagram.com/anarchitect_co/,https://twitter.com/anarchitect_co,anarchitect.co@gmail.com,Good,No,Yes
ypid:YN8003x15789253636580060688,Hopkins Architects Dubai Ltd,Dubai,https://www.bing.com/th?id=OLC.IMZVFVEaiCcDYQ480x360&pid=Local,https://www.bing.com/maps?cp=25.15278434753418%7E55.227561950683594&lvl=17.0&q=Hopkins%20Architects%20Dubai%20Ltd%20%2C%20Dubai,25.15278435,55.22756195,,,مهندس معماري,Closed · Opens 09:00,,2025-07-11T03:07:22.192Z,https://www.hopkins.co.uk/,04 338 3992,"{""instagram"":""https://www.instagram.com/hopkinsarchitects/"",""linkedin"":""https://www.linkedin.com/company/hopkins-architects/""}",-- No Data --,https://www.instagram.com/hopkinsarchitects/,-- No Data --,info@archiposition.com,Good,No,Yes
